id,keyword,location,text,target
91,aftershock,"Brooklyn, NY",stay informed stay engaged whats going puertorico earthquake usgs’ aftershock s…,0
92,aftershock,,isnt good feel people puerto rico,0
93,aftershock,"Melbourne, Victoria",aftershock vapor pro review – aussie aussie aussie powerupau,0
94,aftershock,,puerto rico worker explains earthquake aftershock pleading go viral via,0
95,aftershock,Piscataway land // DC,unfathomable number lived large earthquake slept table one terrible night…,0
96,aftershock,DEPRESSED VIBES,nah need calm :skull:,0
97,aftershock,,thinking spat blood marilyn manson’s set aftershock :eye::eye:,0
98,aftershock,,two quake magnitude cannot say one others preshock aftershock one obv…,0
99,aftershock,,aftershock happens within day main shock predict say an…,1
100,aftershock,,dont think silivri aftershock silivri month ago :grinning_face: quake professor always say nonsen…,0
101,aftershock,"Bum Fuck, California",think it’s aftershock ’s lyrical beat brent never recovered,0
102,aftershock,,apex separating monarch they’re “separation well theory mechagod…,0
103,aftershock,"fresno, ca",thinking spat blood marilyn manson’s set aftershock :eye::eye:,0
104,aftershock,,sending mate simon bar asking guiness ending carlsberg export mint after…,0
105,aftershock,,usgs earthquake expert puertorico installing temporary seismometers help track seismic event including jan ma…,0
106,aftershock,"Wilmington, NC- USA",puerto rico hit another magnitude aftershock kyma,1
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎",weekend puerto rico struck aftershock causing damage home school leaving thou…,1
108,aftershock,DEPRESSED VIBES,could leave gave :broken_heart:,0
109,aftershock,,full experience start one series food running low save young governor…,0
110,aftershock,USA,magnitude quake puertorico morning caused aftershock forecast change estimate increased…,1
111,aftershock,10.28.33N  / 066.57.79W,continue update aftershock forecast scenario puertorico forecast posted english,0
112,aftershock,"Texas, USA",another aftershock hit puerto rico last night people cannot go home even one po…,1
113,aftershock,"St Augustine, FL",aftershock comic prefer working partnership creator build team ground,0
114,aftershock,RVA✈️FLA,earthquakeaftershock mess power,0
115,aftershock,PA,aftershock forecast puerto rico,0
116,airplane%20accident,USA,like iran shooting airplane accident,1
117,airplane%20accident,,bing bong airplane accident remix,0
118,airplane%20accident,Inside my head,morgan surprised see shaun back work already offer condolence dad shaun say airplan…,0
119,airplane%20accident,Australia,that’s load rubbish never imminent threat jesus christiran sho…,0
120,airplane%20accident,"Greenwich, CT",actually blocking internet accident know like iran shot ukrainian airplane,1
121,airplane%20accident,"Michigan, USA",conclusion previous page incorrect imho “the witness observation streak light we…,0
122,airplane%20accident,Iran,celebrity iran sadly compatriot killed downing uk airplanenot di…,0
123,airplane%20accident,"Virginia, USA",iranian radar cannot tell difference incoming missile going ukrainian airplane what…,1
124,airplane%20accident,West coast True north  i stan juggalos,look timeline see hate coun…,0
125,airplane%20accident,,military mistake usmilitary shot iranian passenger airplane iranian military shot ukr…,1
126,airplane%20accident,,secret antispying service middle east high alert demolition commercial airplane u…,1
127,airplane%20accident,هرجا که دلت باشد,friend live believe basic right know happened…,0
128,airplane%20accident,,secret antispying service middle east high alert demolition commercial airpl…,1
129,airplane%20accident,,iran fired surface surface missiles…then fired surface air missile at…,0
130,airplane%20accident,,basically killed general put whole country confusing status shoot civ…,0
131,airplane%20accident,GOV of Georgia♥️ Janny Cares,referring shooting airplane really do…,0
132,airplane%20accident,"Saskatchewan, Canada",referring shooting airplane i…,0
133,airplane%20accident,Canada,anyone belief incident accident idiot airplane approx fee…,0
134,airplane%20accident,,anyone belief incident accident idiot airplane approx …,0
135,airplane%20accident,"Port Charlotte, FL",iran blow airplane accident intended shot accident civilian aircraft,1
136,airplane%20accident,artemis,airplane accident,1
137,airplane%20accident,,mr u hold ptrump accountable airplane accidentwe r sad toobut pls don’t tweet abo…,0
138,airplane%20accident,Africa,dial tollfree phone event wish report fire flood theft armed robbery kidnap…,0
139,airplane%20accident,"Ilawe-Ekiti, Nigeria",dial tollfree phone event wish report fire flood theft armed robbery k…,0
140,airplane%20accident,USA,iran shoot commercial airplane claim accident anyone really believe :pouting_face::pouting_face::pouting_face::pouting_face:,1
141,airplane%20accident,Calgary AB,may unaware cnd currently mourning canadian downed airplane accident iran flag…,1
142,airplane%20accident,"Saskatchewan, Canada",sorry loss iran never shot airplane sky ‘accident’ say,0
143,airplane%20accident,"Toronto, Ontario",wasnt iranian knew takeoff happening amp knew airplane manufacturer american…,0
144,airplane%20accident,USA,mass antigovernment protest erupt iran leader admit shooting airliner still cannot believe w…,0
145,airplane%20accident,New England,read whole thread he’s blaming trump iran shooting ai…,0
146,airplane%20accident,Ontario,airplane accident answer u designated iranian government terrorist ha…,0
147,airplane%20accident,State of Louisiana-great food,hey got swamp land sale either naive plain stupid iran downing t…,0
148,airplane%20accident,"Sachse, Texas",perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many op…,0
149,airplane%20accident,,canadian concerned airplane shot accident canadian many iranian…,0
150,airplane%20accident,Waldo,shooting airplane accident bullshit like accidental shooting firearm especially since…,0
151,airplane%20accident,USA,odd iranian accidentally blew airplane take someone playing with…,0
152,airplane%20accident,,canadian concerned airplane shot accident canadian many…,0
153,airplane%20accident,UK,excuse shooting commercial airplane innocent civilian oh sorry jeremy say an…,0
154,airplane%20accident,"Milwaukee, WI",beat response track airplane surface air missile…,0
155,airplane%20accident,"French River, Ontario, Canada",unimaginable people gone one accident could anyone point surface air missile a…,0
156,airplane%20accident,"Siesta Key, FL",accident iran rocketed airplane killing people libs defending like that’s ok b…,0
157,airplane%20accident,"Manchester, England",excuse shooting commercial airplane innocent civilian oh sorry jeremy say it…,0
158,airplane%20accident,"New Jersey, USA",well let’s see know far body count demonstrator over…,0
159,airplane%20accident,"Michigan, USA",beat response track airplane surface air missi…,0
160,airplane%20accident,"Canada, eh",good lord yeah accident airplane didnt give missile right away :unamused_face:,0
161,airplane%20accident,,iranian leadership downed commercial airplane purpose kidding saying accident,0
162,airplane%20accident,#السعودية_العظمى,ooh look nyt became lawyer iranian regime stupid newspaper it’s time vi…,0
163,airplane%20accident,Iowa,exactly one accidentally fire rocket airplane leaving country airport this…,0
164,airplane%20accident,"Vaughan, Ontario",saying shooting airplane w innocent ppl accident bruh,1
165,airplane%20accident,"Moodus, CT  USA",nuclear physicist airplane accident,1
166,airplane%20accident,"40.72163,-73.8669",murderous friend shoot airplane accident killing around innocent people wa…,1
167,airplane%20accident,"East Verdi, NV",yup u shot iranian airplane accident we’ve supp…,1
168,airplane%20accident,,united state down iranian terrorist world press dedicates ton article life lived ira…,0
169,airplane%20accident,"Port Charlotte, FL",besides airplane shot accident thing habbening also highlevel proiran militi…,0
170,airplane%20accident,"Hamilton, Ontario",cbc news said operator missile launcher shot airplane cockpit taken out…,1
171,airplane%20accident,,consider gt person video camera know record attack indication…,0
172,airplane%20accident,The Enchanted Mitten,besides airplane shot accident thing habbening also highlevel proir…,0
173,airplane%20accident,NYC Babe-Bee 🌹🐾🙏,yeah yer well prepared hit building amp knocked yer airplane accident better keep d…,0
174,airplane%20accident,"Lake Mary, FL",shooting plane accident human error iranian shooting mi…,0
175,airplane%20accident,,attack n airplane taken accident iran want world know co…,0
176,airplane%20accident,,grover airplane accident doctor,0
177,airplane%20accident,Islamic Republic of Iran,trump accident crash airplane ukraine main factor powerful person world whose count…,0
178,airplane%20accident,Islamic Republic of Iran,trump accident crash airplane ukraine main factor powerful person world whose…,0
179,airplane%20accident,"Franca, Brasil",although late extend condolence family victim ukrainian airplane falling inclu…,1
180,airplane%20accident,Cairo,iranian military admitted shot ukrainian airplane missile accidentally accident crim…,1
181,airplane%20accident,,much talk ukraine airplane within iran usa conflict conflict wise irrelevant mo…,0
182,airplane%20accident,Qom,although late extend condolence family victim ukrainian airplane falling…,1
183,airplane%20accident,"Houston, TX",iran shot airplane full innocent people say want trump that’s appropriate r…,1
184,airplane%20accident,"The Hague, Netherlands ",still silent killing innocent people iran iranian military admitted shot ukrainian a…,1
185,airplane%20accident,,iranian chose day time send missile inside iraq also controlled the…,0
186,airplane%20accident,,airplane routine flight path airport one would think shot would fam…,0
187,airplane%20accident,,germany foreign minister heiko maas say must assumed airplane crash iran terrible accident,1
188,airplane%20accident,,compassion family ukrainian airplane shot accident :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:…,1
189,airplane%20accident,"Pahoa, Hawai'i 96778",compassion family ukrainian airplane shot accident :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:,0
190,ambulance,Republic of Ireland.,fire engulfs ambulance conveying corpse catholic priest’s mother streetjournal,1
191,ambulance,"England, UK",racist concerned correct … resident birmingham cant speak english birmingham england…,0
192,ambulance,,:red_circle: waarland ambulance :ambulance: rit sabinahof waarland,0
193,ambulance,"Rock Hill, SC",usdjpy despite richter scale overbought fxstreet line swissquote bullish long jason sen mr ambulance chaser b…,0
194,ambulance,"Rock Hill, SC",usdjpy despite richter scale overbought fxstreet line swissquote bullish long jason sen mr ambulance cha…,0
195,ambulance,Hyeongjun world,untamed boy singing “love siren” ambulance :red_heart_selector::red_heart_selector: theuntamedboysinbkk,0
196,ambulance,"Theale, England",pulling ambulance,0
197,ambulance,London innit,hope there’s going ambulance waiting bottom there’s way fat lump cli…,0
198,ambulance,,รักติดไซเรน ambulance cover coming theuntamedboys ambassador thai spring festival delightful…,0
199,ambulance,Sicily (❤️) Mielno 🇵🇱,driving drunk choose way come back home taxi b…,0
200,ambulance,"Melbourne, Victoria",yer severe ambulance ramping fundingresourcing…,0
201,ambulance,,zulaykhas son ambulance driver killed suicide attack maimana faryab everyday visit ambu…,0
202,ambulance,mybag,first taken damn hospital man died walmart ambulance outside focuse…,1
203,ambulance,Worldwide,jinu okay hit head fainted remember anything yoon ambulance ride hospi…,0
204,ambulance,Wales,come we’ve recently fuel stolen ambulance vehicle damage staff car whilst ambulanc…,1
205,ambulance,,theyve gone ambulance chasing australia,0
206,ambulance,,drumroll beach girl henry tried keep pressure wound call an…,0
207,ambulance,UK,racism absolutely delighted…,0
208,ambulance,"Everywhere, I am a free spirit",norovirus like detox get crap system much like flushing central h…,0
209,ambulance,Malawi,ooh guy know gauteng people go study nursing ambulance nurse keep alive transit…,0
210,ambulance,,iranprotests tehran right valiasr intersection special force heading paradise ambulance …,0
211,ambulance,💰HELPING YOU GAIN MUTUAL💰,one silently pray unknown ambulance passed,0
212,ambulance,"Knoxville, TN",long night mom sugar dropped dad called ambulance fun hospital late shift,1
213,ambulance,UK,norovirus there place like home winter bug unpleasant usual go away coupl…,0
214,ambulance,,don’t understand jongkook danced like breathing heavily end sequence lyi…,0
215,ambulance,Egypt's Prime Minister,unilorin oxygen whole university ilorin oxygen refer u uith thinking maybe t…,0
216,ambulance,in my poes,“ambulance nurses” :heart_suit_selector::heart_suit_selector::heart_suit_selector:,0
217,ambulance,Malawi,angel africa netcare air ambulance doctor paramedic activated interhospitaltrans…,1
218,ambulance,"Namibia,rundu,ondangwa,katima,",ambulance :ambulance: need call u today tollfree number :backhand_index_pointing_right:,0
219,ambulance,UK,lovely message receive thank much :grinning_face_with_big_eyes::green_heart:,0
220,ambulance,,timely action accident save someone life find someone injury call ambulance…,1
221,ambulance,Ghana,technical brain speak raging debate mostly disposition amp knowledge calm storm even more…,0
222,ambulance,Malibu,got back hospital bc accidentally blended finger cooking promised ambulance doctor w…,0
223,ambulance,UK,another race baiting ambulance chaser exposed racism action peop…,0
224,ambulance,,ooh guy know gauteng people go study nursing ambulance nurse keep alive t…,0
225,annihilated,,nicki minaj single handedly annihilated male specie day dropped,0
226,annihilated,,must annihilated,0
227,annihilated,"Wales, United Kingdom",basically let people work hard money save invest wisely snatch fu…,0
228,annihilated,,thanks offence taken really choice centre left party either re…,0
229,annihilated,New york in jesus name,commonest line naija song become annoying way whyne e dey blow mind please…,0
230,annihilated,,quranic verse leader choose qasem soleimani unique moment soldier islam tirelessly foug…,0
231,annihilated,USA,she’s wrong way aca passed because…,0
232,annihilated,Worldwide,get ready picking weapon choice chose lute course thinking everything will…,0
233,annihilated,"Scotland, United Kingdom",actually impossible tell whether dan boris le across brief journalist almost journalist…,0
234,annihilated,"West Midlands, England",zero chance candidate winning next election deluded hard left will…,0
235,annihilated,Melbourne & Regional Victoria,good riddance bad rubbish like well saying youre annihilated,0
236,annihilated,"Fishlake, England",haven’t like understood yet policy plus touch…,0
237,annihilated,EVERYWHERE,breast perished name bottle poison make want cry make want t…,0
238,annihilated,,yall beautiful delicate tender vampire taejin annihilated tonight most…,0
239,annihilated,"Melbourne, Victoria",reminiscing time annihilated pb made look easy feeling fiine bring gpc :flexed_biceps_light_skin_tone:…,0
240,annihilated,"Osun, Nigeria",titan raise trident drink victory annihilated enemy yesterday sent hades they…,1
241,annihilated,EVERYWHERE,promise perished name almond make want cry make want curse des…,0
242,annihilated,Joburg,sne really tryna see get annihilated :loudly_crying_face::loudly_crying_face::loudly_crying_face: dm psn bro:face_with_tears_of_joy::folded_hands_medium-dark_skin_tone::folded_hands_medium-dark_skin_tone:,0
243,annihilated,,titan raise trident drink victory annihilated enemy yesterday sent hades where…,1
244,annihilated,UK,appreciate bbc igbo start expose britain partook biafra genocide millio…,1
245,annihilated,UK,poll mean shit hugh wrong massively effectively vote leave won…,0
246,annihilated,"Ottawa, Ontario, Canada",pier morgan annihilated simple logic,0
247,annihilated,"Ottawa, Ontario, Canada",pier morgan annihilated simple logic vegan advocacy good morning britain,0
248,annihilated,"Ottawa, Ontario, Canada",pier morgan annihilated simple logic vegan advocacy,0
249,annihilated,EVERYWHERE,apple perished name adderall pill make want cry make want curs…,0
250,annihilated,,win federal judge lifted tro build floodplain change game judge absolutely…,0
251,annihilated,宮城 ⇄ 都下  / 🌻,oppenheimer annihilated done referenced mistress death dislike thanos,0
252,annihilated,"Москва, Россия",lost big team event point pretty nice list like annihilated inside,0
253,annihilated,Indio,theyd get annihilated miami,1
254,annihilated,,ally u mean annihilated minute look kurd,1
255,annihilated,"Toronto, Ontario",pore nose getting annihilated finger,0
256,annihilated,UK,moment doc ockin spidey’s body realizes spidey holding back fight time pete…,0
257,annihilated,,best way describe current emotional state toddler wave pool fine part get annihilated w…,0
258,annihilated,UK,nicki minaj single handedly annihilated male specie day dropped,0
259,annihilated,"Sacramento, CA",answer soooooo happy renew season ticket would lost mind di…,0
260,annihilated,where the angels live,machine changed music pretty much annihilated concept live band playing real instrument however machine n…,0
261,annihilated,,lsu would annihilated ohio state university couldnt even dominate wisconsin…,0
262,annihilated,"Fort Worth, TX",mention florida state team well annihilated everybody played except auburn they…,0
263,annihilated,USA,machine changed music pretty much annihilated concept live band playing real instrument however machi…,0
264,annihilated,"Virginia Beach, VA",i’m getting absolutely annihilated i’m hooked tarkov,0
265,annihilated,Home,disney amp psychreylo’s wonder we’re upset w star war is…,0
266,annihilated,T̷̀͜h̴̲͌ë̷̻́ ̸͎͝V̴̧͠o̷̠̚i̵̭͌d̴,thot status annihilated,0
267,annihilated,香港,president trump great president annihilated terrorist risk inti…,1
268,annihilated,Maga country,think would’ve learned clinton getting annihilated s…,0
269,annihilated,,antichrist singlehandedly annihilated american movie industry,0
270,annihilated,Australia,auspol onto theliarfromtheshire manipulation election…,0
271,annihilated,,devastating thorough refutation ned flanders stream annihilated orthodox straw men…,0
272,annihilated,USA,devastating thorough refutation ned flanders stream annihilated orthodox…,0
273,annihilated,Otherworld,maybe current thinking itll related upcoming title story arc xfactor tonally feel…,0
274,annihilated,"West Palm Beach, FL",annihilated yo graduate broad made call “the gaud” snatched soul didn’t bust…,0
275,annihilated,"Florida, USA",thot status annihilated,0
276,annihilated,"Miami, FL",guy annihilated best defense college football lose two game sick,0
277,annihilated,"Lagos, Nigeria",broke destroyed annihilated shattered ankle abou never,0
278,annihilated,,clown photo leftfar leftjoked predator drone strike fake news corespondent dinner c…,0
279,annihilated,"Minnesota, USA",lsu best team country start finish season annihilated oklahoma semifinal d…,0
280,annihilated,"Nashville, TN",valid total body work matter lsu proved worthy seed t…,0
281,annihilated,,“if else perished remained still continue else remained annihilated…,0
282,annihilated,"Sacramento, CA",bernie sander coddled politician today get annihilated win nomination,0
283,annihilation,,iran government dominating headline crushing cruel islamic regime purveyor proxy war state sponsored ter…,0
284,annihilation,"Delhi, India",lot talk violence carried name hindu cow vigilante lynching extremely…,0
285,annihilation,日本,:United_States: x u navy airborne probably nothing imminent global annihilation :man_shrugging_selector:,0
286,annihilation,,deflecting issue discouraging statisticsof bengali hindu f…,0
287,annihilation,space,want u like annihilation,0
288,annihilation,Occupied Multnomah Chinook PDX,loved hated uncutgems like several movie recently evoked clockwork orange grotesque compelling …,0
289,annihilation,,surajmal bhau somehow forged alliance would hv resulted annihilation ummah,1
290,annihilation,"Lagos, Nigeria",annihilation,0
291,annihilation,Where the doggos are,vic bushfire appeal doggos animal farm tomb annihilation,0
292,annihilation,,vic bushfire appeal doggos animal farm tomb annihilation,0
293,annihilation,"Durban, South Africa",anyone know official site oppose total annihilation south africa new health system reform,1
294,annihilation,"Almería, Spain",two alien race go war earth caught middle t…,0
295,annihilation,Glasgow,strangest part palpable disappointment longer rely public fund year austerity …,0
296,annihilation,"Henderson, NV",like iraniraq war root mutual annihilation,1
297,annihilation,,need political autonomy nothing le prevent demographic annihilation,1
298,annihilation,Tamriel,terrible high elf shortsword annihilation,0
299,annihilation,,simple arab rejected hand un partition plan instead waged war…,1
300,annihilation,USA,russia blame trump’s iran strike impeachment “for trump annihilation iranian general present decen…,1
301,annihilation,The Phantom Zone,complete nuclear annihilation except it’s pop back happening,1
302,annihilation,The Magnus Institute,know movie oscar year annihilation,0
303,annihilation,"Adelaide, South Australia",annihilation,0
304,annihilation,"Brooklyn, NY",biggest f chat film twitter fake “cats” trailer w annihilation score dubbed t…,0
305,annihilation,BC Canada,¢ nexus araphym darkening part horrorparanormal ebook novelette e h james thing standing…,0
306,annihilation,"Acapulco de Juárez, Guerrero",dying salvation dedication capitulation annihilation papal commendation reincarnation heaven your…,0
307,annihilation,,watch thing scam wick really start party annihilation :face_with_tears_of_joy:,0
308,annihilation,,¢ nexus araphym darkening part horrorparanormal ebook novelette e h james thing…,0
309,annihilation,,data assimilation agentbased model using creation annihilation operator,0
310,annihilation,"Bengaluru, India",happy see people regaining conscience afterall soul cant stand watch the…,0
311,annihilation,From The US  Resides in the UK,new annihilation :fire: ft tragedy khadafi :white_medium_star:p sway amp grand surgeon djkool real king trap vol :white_medium_star:h…,0
312,annihilation,,annihilation one favs,0
313,annihilation,"Lakewood, CO",starting annihilation rn first time somehow,0
314,annihilation,,need survive practice faith think hindugenocide…,1
315,annihilation,,also need survive practice faith think hindugen…,1
316,annihilation,"Baltimore, MD",speaking atrocity annihilation christian across middle east committed muslim daily sat…,1
317,annihilation,India,yeah surprised heard first another gem electronic score this…,0
318,annihilation,India,dont understand systemic oppression cost oppressed total complete anni…,0
319,annihilation,Island,dont get bias flipping short annihilation incoming,0
320,annihilation,"Tempe, AZ",annihilation hulu,0
321,annihilation,,cannot yet see danger lurking hastening annihilation n…,0
322,apocalypse,,weekend drove burned landscape big bag sweet potato roos severit…,0
323,apocalypse,Madrid,amount scifi medium could’ve prepared aspect climate apocalypse,1
324,apocalypse,Sacro Imperio de Cuenca,four horseman apocalypse,0
325,apocalypse,"West Palm Beach, FL",two day thats long two day done stage bravo free ki…,0
326,apocalypse,🌙,never understand smell girl perfume last sec meanwhile boy go apocalypse st…,0
327,apocalypse,"Ohio, USA",apocalypse happens want army follower team everyone heelys there’s hundred…,0
328,apocalypse,Estonia,amount scifi medium could’ve prepared aspect climate apocalypse,1
329,apocalypse,"Thüringen, Deutschland",eskenfilme kauft einen ford falcon und viel sprit die apocalypse kommt ohne tempolimit,0
330,apocalypse,,euroleague με unit,0
331,apocalypse,,apocalypse coming,1
332,apocalypse,"Cambridge, England",like review apocalypsecow fair monbiots view …,0
